"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AW1","AW2","GA1","GA2","GA3","GE1","GF1","IA2","KA1","KA2","MA1","MD1","MW1","MW2","OC1","OD1","REM","EQD"
"03761099999","2024-01-01T10:50:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","210,1,N,0057,1","03048,1,C,N","009999,1,9,9","+0070,1","+0040,1","99999,9",,,,,,,"08,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,03048,1,99,9,99,9",,,,"10040,1,99999,9",,,,,,"MET059METAR EGVO 011050Z AUTO 21011KT 9999 OVC100/// 07/04 Q1004=",
"03761099999","2024-01-01T11:00:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-12","99999","V020","210,1,N,0057,1","03000,1,9,N","035000,1,9,9","+0069,1","+0036,1","10052,1","01,0000,9,1",,,,,,"08,1,+03000,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,03000,1,99,9,99,9",,,,"99999,9,09909,1","2,1,016,1,+999,9",,,,"4,99,0077,1,999","SYN10003761 25981 82111 10069 20036 39909 40052 52016 88/// 333 55300 20267 60005 88/60 91015 90710 91117=",
"03761099999","2024-01-01T11:20:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","220,1,N,0057,1","03048,1,C,N","009999,1,9,9","+0070,1","+0040,1","99999,9",,,,,,,"07,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,03048,1,99,9,99,9",,,,"10040,1,99999,9",,,,,,"MET059METAR EGVO 011120Z AUTO 22011KT 9999 BKN100/// 07/04 Q1004=",
"03761099999","2024-01-01T11:50:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","210,1,N,0051,1","03048,1,9,N","009999,1,9,9","+0080,1","+0040,1","99999,9",,,,,,,"04,1,+01006,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01006,1,99,9,99,9",,,,"10040,1,99999,9",,,,,,"MET069METAR EGVO 011150Z AUTO 21010KT 9999 SCT033/// BKN100/// 08/04 Q1004=",
"03761099999","2024-01-01T12:00:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-12","99999","V020","210,1,N,0051,1","03000,1,9,N","035000,1,9,9","+0076,1","+0043,1","10051,1","01,0000,9,1","06,0000,9,1",,,,,"04,1,+00990,1,99,9","06,1,+03000,1,99,9",,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00990,1,99,9,99,9",,,,"99999,9,09908,1","1,1,010,1,+999,9",,,,"4,99,0072,1,999","SYN11203761 05681 82110 10076 20043 39908 40051 51010 60001 88/// 333 55300 20407 60005 84/33 86/60 91014 90710 91117=",
"03761099999","2024-01-01T12:20:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","210,1,N,0051,1","03048,1,C,N","009999,1,9,9","+0080,1","+0050,1","99999,9",,,,,,,"08,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,03048,1,99,9,99,9",,,,"10040,1,99999,9",,,,,,"MET059METAR EGVO 011220Z AUTO 21010KT 9999 OVC100/// 08/05 Q1004=",
"03761099999","2024-01-01T12:50:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","200,1,N,0046,1","03048,1,9,N","009999,1,9,9","+0080,1","+0050,1","99999,9",,,,,,,"02,1,+02652,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02652,1,99,9,99,9",,,,"10040,1,99999,9",,,,,,"MET069METAR EGVO 011250Z AUTO 20009KT 9999 FEW087/// BKN100/// 08/05 Q1004=",
"03761099999","2024-01-01T13:00:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-12","99999","V020","200,1,N,0046,1","03000,1,9,N","030000,1,9,9","+0081,1","+0050,1","10042,1","01,0000,9,1",,,,,,"02,1,+02400,1,99,9","07,1,+03000,1,99,9",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,02400,1,99,9,99,9",,,,"99999,9,09900,1","8,1,006,1,+999,9",,,,"4,99,0067,1,999","SYN10603761 25980 82009 10081 20050 39900 40042 58006 88/// 333 55300 20246 60005 82/58 87/60 91013 90710 91115=",
"03761099999","2024-01-01T13:20:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","190,1,N,0046,1","02469,1,C,N","009999,1,9,9","+0080,1","+0050,1","99999,9",,,,,,,"07,1,+02469,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02469,1,99,9,99,9",,,,"10030,1,99999,9",,,,,,"MET069METAR EGVO 011320Z AUTO 19009KT 9999 BKN081/// BKN100/// 08/05 Q1003=",
"03761099999","2024-01-01T13:50:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-15","99999","V020","180,1,N,0046,1","02042,1,C,N","009999,1,9,9","+0090,1","+0060,1","99999,9",,,,,,,"07,1,+02042,1,99,9","08,1,+02926,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02042,1,99,9,99,9",,,,"10030,1,99999,9",,,,,,"MET069METAR EGVO 011350Z AUTO 18009KT 9999 BKN067/// OVC096/// 09/06 Q1003=",
"03761099999","2024-01-01T14:00:00","4","51.234139","-0.942825","123.44","ODIHAM, UK","FM-12","99999","V020","180,1,N,0046,1","01800,1,9,N","028000,1,9,9","+0085,1","+0055,1","10033,1","01,0000,9,1",,,,,,"05,1,+01800,1,99,9","08,1,+02700,1,99,9",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,01800,1,99,9,99,9",,,,"99999,9,09891,1","8,1,018,1,+999,9",,,,"4,99,0062,1,999","SYN10603761 25878 81809 10085 20055 39891 40033 58018 88/// 333 55300 20245 60005 85/56 88/59 91012 90710 91113=",
