NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT16,WT18,WT22
"SEATTLE TACOMA AIRPORT, WA US",13 05 2013,5,3.3,0,0,15.2,18.9,9.4,12.5,17,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",14 05 2013,2.4,0,0,0,11.8,18.3,7.8,5.4,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",15 05 2013,2.3,1,0,0,13.6,17.2,8.9,6.7,8.9,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",16 05 2013,2.7,0,0,0,14.4,21.7,12.2,7.6,9.4,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",17 05 2013,3.7,0.5,0,0,14.7,17.2,11.7,7.6,9.8,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",18 05 2013,2.9,0,0,0,13.3,16.7,11.1,6.7,8.1,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",19 05 2013,2.3,0,0,0,14.1,18.3,10.6,6.7,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",20 05 2013,1.8,0,0,0,13.2,19.4,9.4,5.8,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",21 05 2013,4.8,13.7,0,0,12.5,15.6,8.3,8.9,11.2,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",22 05 2013,3,13.7,0,0,9.7,11.1,7.2,6.7,9.4,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",23 05 2013,1.9,4.1,0,0,9.4,12.2,6.7,7.2,8.9,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",24 05 2013,2.7,0.3,0,0,11.3,16.7,8.9,6.3,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",25 05 2013,2.7,0,0,0,12.9,17.8,10,5.4,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",26 05 2013,2.2,1.5,0,0,13.3,18.3,10.6,5.4,6.7,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",27 05 2013,3.1,9.7,0,0,13.7,16.7,11.1,6.3,7.6,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",28 05 2013,2.8,0.5,0,0,13.4,17.2,11.7,7.2,9.4,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",29 05 2013,4,5.6,0,0,12.6,16.1,9.4,9.4,12.5,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",30 05 2013,5.3,0,0,0,12.9,16.7,9.4,9.4,11.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",31 05 2013,2.5,0,0,0,13.7,19.4,11.1,4.5,6.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",01 06 2013,2.5,0,0,0,15.8,22.8,12.2,7.2,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",02 06 2013,3.1,1,0,0,16.3,20.6,12.2,6.7,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",03 06 2013,2.9,0,0,0,15.3,22.2,11.1,4.5,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",04 06 2013,3.4,0,0,0,18.1,26.1,12.2,7.2,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",05 06 2013,3.1,0,0,0,20.2,26.7,14.4,5.8,7.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",06 06 2013,2.5,0,0,0,19.4,26.7,12.2,6.7,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",07 06 2013,3.2,0,0,0,18.2,21.7,13.3,7.6,10.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",08 06 2013,3.1,0,0,0,16,20.6,12.8,7.2,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",09 06 2013,3.7,0,0,0,16,20.6,11.1,7.2,8.1,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",10 06 2013,3.2,0,0,0,15.4,21.7,11.7,6.7,8.1,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",11 06 2013,5.7,0,0,0,15.4,20,10,9.8,11.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",12 06 2013,4.2,0.3,0,0,14.9,20.6,11.7,7.6,10.3,,,,,,,,,,,,,
